A2M	3.1643774	9.830679305	2.680953033	4.163179587275799	1	1	0	0.905	0.7179	0.13
AAAS	6.045436501	4.48160044	4.357862008	4.464447282	2	2	1	0.852	0.961	0.987
AAK1	10.47990236	5.700175979	4.334358341	3.764241996	0	2	2	0.143	0.351	0.988
AAMP	4.875197323	3.057015502	4.535686591720503	3.154230631	0	0	2	0.78	0.9285	0.976
AARS	6.003449935	3.74627534	3.826421543	3.911782977	2	2	2	0.338	0.998	0.984
AARS2	4.765263175	4.561604849	4.293987457	3.717175323	1	2	1	0.998	0.992	0.999
AASDHPPT	5.865677376	3.749574662	3.834601858	3.119099688	2	2	0	0.78	0.999	0.993
AATF	3.624767509	3.855833534	3.077865103	3.768060252	1	1	1	0.988	0.847	0.984
ABAT	5.383903145	5.5361367	3.543853682	4.416403907	1	1	2	0.992	0.928	0.958
ABCB10	5.651291973	6.056910469	10.82751065	4.766310666	1	1	1	0.964	0.5711666666666666	0.765
ABCB7	5.123535316	5.415882601	4.946174992	4.475733257	2	1	2	0.993	0.93	0.936
ABCB8	4.845682031	4.487692104	5.407050688	4.574628501	1	1	1	0.511	0.802125	0.933
ABCC1	4.527867887	4.022741143	3.887135874	4.279246121	1	2	0	0.983	0.957	0.981
ABCD1	4.149526951	6.964721452	4.132170072	4.108822581	1	1	0	0.994	0.933	0.99
ABCD3	4.69996205	4.468823405	4.711105536	4.166106928	1	1	2	0.999	0.9109999999999999	0.981
ABCE1	5.126692397	4.301182564	4.227067295	3.764543358	2	2	2	0.938	0.17	0.995
ABCF1	4.07599388	4.288416259	4.210155284	3.539102529	2	2	2	0.984	0.998	0.992
ABCF2	3.508406188	3.378201662	3.914499935	3.334238155	2	1	2	0.994	0.929	0.983
ABCF3	4.946061217	3.504355474	3.666761649	3.640686612	2	2	1	0.858	0.999	0.994
ABHD10	5.587656815	6.563904891	5.87711374	4.69794078	1	1	2	0.983	0.866	0.958
ABHD11	4.478154662	5.889725245	5.438483575	4.720951219	0	1	1	0.807	0.491	0.9042
ABHD12	4.173925625	4.54129278	3.186146	4.232119024	1	1	1	0.949	0.493	0.99
ABHD14B	8.29482459	5.676681882	5.514291277	5.039656735	2	1	0	0.287	0.979	0.964
ABHD16A	3.413389422	4.935566861	4.720523606	3.969838981	1	1	2	0.981	0.405	0.978
ABI1	4.801789047	5.012280606	4.737119077	4.27756849	1	2	2	0.979	0.995	0.996
ABLIM1	10.47990236	3.881625652	4.0277612874	3.665841097	1	1	1	0.989	0.998	0.9555555555555557
